title,car_model_name,car_color,car_mileage,location,date,price
تويوتا كورولا 1990,كورولا,أبيض,"230,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"205,000 جنيه"
تويوتا كورولا 2022,كورولا,بترولي,"2,170 كم",مدينة الشيخ زايد,2024-05-20,"1,205,000 جنيه"
تويوتا كورولا 2002,كورولا,أبيض,"300,000 كم",قليوب,2024-05-20,"380,000 جنيه"
تويوتا كورولا 1988,كورولا,أبيض,"350,000 كم",القناطر الخيرية,2024-05-20,"160,000 جنيه"
تويوتا كورولا 2021,كورولا,أسود,"99,000 كم",مدينة نصر,2024-05-20,"1,200,000 جنيه"
تويوتا كورولا 2015,كورولا,أبيض,"132,000 كم",مدينة نصر,2024-05-20,"760,000 جنيه"
تويوتا كورولا 2020,كورولا,أبيض,"21,800 كم",المنصورة,2024-05-20,"1,250,000 جنيه"
تويوتا كورولا 1993,كورولا,فيراني,"300,000 كم",دمنهور,2024-05-20,"200,000 جنيه"
تويوتا كورولا 2007,كورولا,أسود,"220,000 كم",الجيزة,2024-05-20,"420,000 جنيه"
تويوتا ياريس 2007,ياريس,أسود,"130,000 كم",6 أكتوبر,2024-05-19,"425,000 جنيه"
تويوتا كورولا 2008,كورولا,أبيض,"144,000 كم",سوهاج,2024-05-19,"620,000 جنيه"
تويوتا كورولا 2020,كورولا,بترولي,"90,000 كم",شيراتون,2024-05-19,"930,000 جنيه"
تويوتا كورولا 2019,كورولا,فضي,"37,000 كم",البحيرة,2024-05-19,"1,200,000 جنيه"
تويوتا كورولا 1990,كورولا,رمادي,- كم,الخانكة,2024-05-19,"170,000 جنيه"
تويوتا بيلتا 2022,بيلتا,احمر,"50,000 كم",دمياط,2024-05-19,"880,000 جنيه"
تويوتا كورولا 2012,كورولا,فيراني,"128,000 كم",كفر الشيخ,2024-05-19,"760,000 جنيه"
تويوتا بلتا 2022,بلتا,رمادي,"8,700 كم",الغربية,2024-05-19,"920,000 جنيه"
تويوتا كورولا 2009,كورولا,أسود,- كم,مدينة نصر,2024-05-19,"390,000 جنيه"
تويوتا كورولا 2019,كورولا,فضي,"37,000 كم",رشيد,2024-05-19,"1,200,000 جنيه"
تويوتا كورولا 2021,كورولا,فضي,"88,000 كم",6 أكتوبر,2024-05-19,"1,230,000 جنيه"
تويوتا كورولا 2007,كورولا,سماوى,"500,000 كم",البحيرة,2024-05-19,"620,000 جنيه"
تويوتا كورولا 2020,كورولا,رمادي,"80,000 كم",القاهرة,2024-05-19,"970,000 جنيه"
تويوتا كورولا 2014,كورولا,فيراني,"200,000 كم",بني سويف‎,2024-05-19,"750,000 جنيه"
تويوتا كورولا 2013,كورولا,أسود,"159,000 كم",بني سويف‎,2024-05-19,"680,000 جنيه"
تويوتا كورولا 2023,كورولا,أبيض,"25,000 كم",المعادى,2024-05-19,"1,250,000 جنيه"
تويوتا كورولا 2005,كورولا,الأزرق الداكن,"447,000 كم",مدينة الشيخ زايد,2024-05-19,"470,000 جنيه"
تويوتا كورولا 2014,كورولا,أسود,"155,000 كم",الإسكندرية,2024-05-19,"715,000 جنيه"
تويوتا هاى اس 1993,هاى اس,أبيض,"100,000 كم",القاهرة,2024-05-19,-
تويوتا كورولا 2021,كورولا,أبيض,"82,000 كم",6 أكتوبر,2024-05-18,"1,030,000 جنيه"
تويوتا لاند كروزر 1996,لاند كروزر,فضي,- كم,القاهرة,2024-05-18,"1,200,000 جنيه"
تويوتا ياريس 2007,ياريس,أسود,"112,500 كم",الإسكندرية,2024-05-18,"330,000 جنيه"
تويوتا كورولا 2017,كورولا,برونزي,"161,286 كم",التجمع - القاهرة الجديدة,2024-05-18,"1,050,000 جنيه"
تويوتا برادو 2007,برادو,أسود,"190,000 كم",شبرا,2024-05-18,"1,250,000 جنيه"
تويوتا كورولا 2018,كورولا,فضي,"169,000 كم",المهندسين,2024-05-18,"850,000 جنيه"
تويوتا ياريس 2015,ياريس,أبيض,"217,000 كم",المنوفية,2024-05-18,"570,000 جنيه"
تويوتا ياريس 2007,ياريس,فضي,"80,000 كم",مصر الجديدة,2024-05-18,"480,000 جنيه"
تويوتا ياريس 2015,ياريس,فيراني,"290,000 كم",مدينة الشيخ زايد,2024-05-18,"530,000 جنيه"
تويوتا ياريس 2015,ياريس,فضي,"151,000 كم",مدينة نصر,2024-05-18,"650,000 جنيه"
تويوتا كورولا 2015,كورولا,أسود,"118,000 كم",مدينة نصر,2024-05-18,"750,000 جنيه"
تويوتا كورولا 2020,كورولا,بترولي,"100,000 كم",المعادى,2024-05-18,"1,000,000 جنيه"
تويوتا فورتشنر 2017,فورتشنر,أسود,"180,000 كم",التجمع - القاهرة الجديدة,2024-05-18,"2,900,000 جنيه"
تويوتا كورولا 2018,كورولا,أسود,"140,000 كم",القاهرة,2024-05-18,"870,000 جنيه"
تويوتا كورولا 2016,كورولا,فضي,"45,000 كم",المحلة,2024-05-18,"950,000 جنيه"
